 ,2004,1,0,2
Elantris,2005,1,201372,2
The Hope of Elantris,2006,1,6161,2
The Final Empire,2006,6,211959,0
Alcatraz vs the Evil Librarians,2007,1,65539,4
The Well of Ascension,2007,6,249522,0
The Scrivener's Bones,2008,1,65025,4
Defending Elysium,2008,5,29453,3
The Hero of Ages,2008,9,241889,0
The Knights of Crystallia,2009,1,59073,4
The Gathering Storm,2009,5,297502,7
Warbreaker,2009,9,196014,2
The Shattered Lens,2010,1,60577,4
The Way of Kings,2010,5,384265,1
Towers of Midnight,2010,9,327052,7
Infinity Blade: Awakening,2011,1,39040,8
The Alloy of Law,2011,5,96646,0
The Eleventh Metal,2011,9,6815,0
The Emperor's Soul,2012,1,31925,2
Legion,2012,6,17910,6
Infinity Blade: Redemption,2013,1,37681,8
Shadows for Silence in the Forests of Hell,2013,3,17892,2
Steelheart,2013,5,108686,5
Mitosis,2013,7,9034,5
The Rithmatist,2013,9,90110,8
A Memory of Light,2013,11,353906,7
Legion: Skin Deep,2014,1,37323,6
Allomancer Jak and the Pits of Eltania,2014,3,8000,0
Sixth of the Dusk,2014,6,18083,2
Words of Radiance,2014,9,398238,1
Shadows of Self,2015,1,114776,0
Perfect State,2015,5,18268,8
Firefight,2015,9,105072,5
The Dark Talent,2016,1,51711,4
The Bands of Mourning,2016,3,130295,0
Mistborn: Secret History,2016,5,44981,0
Calamity,2016,7,103548,5
Edgedancer,2016,9,51324,1
White Sand,2016,11,30000,2
Snapshot,2017,1,25079,8
Oathbringer,2017,6,458045,1
Skyward,2018,1,137231,3
Legion: Lies of the Beholder,2018,4,28062,6
Children of the Nameless,2018,7,51854,8
White Sand 2,2018,10,30000,2
Starsight,2019,1,140000,3
White Sand 3,2019,6,30000,2
Dark One,2020,1,30000,8
Dawnshard,2020,5,56282,1
Rhythm of War,2020,9,460000,1
Sunreach,2021,6,40000,3
ReDawn,2021,8,40000,3
Cytonics,2021,10,150000,3
Evershore,2021,12,50000,3
Bastille vs. the Evil Librarians,2022,8,70000,4
The Lost Metal,2022,10,200000,0
Secret Project #1,2023,1,200000,2
Secret Project #2,2023,4,200000,2
Secret Project #3,2023,7,200000,2
Secret Project #3,2023,7,200000,2
Defiant,2023,8.5,140000,3
SA #5,2023,12,500000,1
