Carrie,1974,1,60581,0
'Salem's Lot,1975,1,157607,0
The Shining,1977,1,161321,0
Rage (Bachman),1977,7,53994,0
The Long Walk(Bachman),1979,1,84177,0
The Dead Zone,1979,7,150623,0
Firestarter,1980,1,150863,0
Roadwork(Bachman),1981,1,89804,0
Cujo,1981,7,118867,0
The Running Man(Bachman),1982,1,65812,0
The Dark Tower: The Gunslinger,1982,7,62546,0
Christine,1983,1,189905,0
Pet Sematary,1983,7,143094,0
The Talisman,1984,1,261841,0
Thinner(Bachman),1984,7,95716,0
IT,1986,1,441156,0
The Eyes of the Dragon,1987,1,103523,0
The Dark Tower: The Drawing of the Three,1987,4,125544,0
Misery,1987,7,112409,0
The Tommyknockers,1987,10,256253,0
The Dark Half,1989,1,153897,0
The Stand: The Complete & Uncut Edition,1990,1,467812,0
The Dark Tower: The Waste Lands,1991,1,171879,0
Needful Things,1991,7,251219,0
Gerald's Game,1992,1,124349,0
Dolores Claiborne,1992,7,94342,0
Insomnia,1994,1,238334,0
Rose Madder,1995,1,173477,0
The Green Mile,1996,1,130364,0
Desperation,1996,5,191846,0
The Regulators(Bachman),1996,9,116012,0
The Dark Tower: Wizard and Glass,1997,1,254432,0
Bag of Bones,1998,1,200340,0
The Girl Who Loved Tom Gordon,1999,1,61413,0
Dreamcatcher,2001,1,216342,0
Black House,2001,7,244182,0
From A Buick 8,2002,1,123912,0
The Dark Tower: Wolves of the Calla,2003,1,241435,0
The Dark Tower: Song of Susannah,2004,1,126253,0
The Dark Tower,2004,7,272350,0
The Colorado Kid,2005,1,33859,0
Cell,2006,1,121706,0
Lisey's Story,2006,7,183659,0
Blaze (Bachman),2007,1,72264,0
Duma Key,2008,1,204382,0
Under the Dome,2009,1,331018,0
11-22-63,2011,1,269543,0
The Dark Tower: The Wind Through the Keyhole,2012,1,91598,0
Joyland,2013,1,80001,0
Doctor Sleep,2013,7,161622,0
Mr. Mercedes,2014,1,136387,0
Revival,2014,7,120417,0
Finders Keepers,2015,1,123477,0
End of Watch,2016,1,118741,0
Sleeping Beauties,2017,1,234642,0
The Outsider,2018,1,165444,0
The Institute,2019,1,177976,0
If It Bleeds,2020,1,130500,0
